1658515223,2022-07-22,18:40:23.680039,SFC,battery voltage 25.07V,output current -0.05A,operation time (charge mode) 0.3h,operating state: auto off,operating mode: auto,cumulative output energy 0.6Wh,no error,cartridge level above sensor or no sensor (cartridge 1.1 consumed 0.011l),no warning,SFC
1658515284,2022-07-22,18:41:24.241106,SFC,battery voltage 25.08V,output current -0.05A,operation time (charge mode) 0.3h,operating state: auto off,operating mode: auto,cumulative output energy 0.6Wh,no error,cartridge level above sensor or no sensor (cartridge 1.1 consumed 0.011l),no warning,SFC
1658515344,2022-07-22,18:42:24.797118,SFC,battery voltage 25.08V,output current -0.05A,operation time (charge mode) 0.3h,operating state: auto off,operating mode: auto,cumulative output energy 0.6Wh,no error,cartridge level above sensor or no sensor (cartridge 1.1 consumed 0.011l),no warning,SFC
1658515405,2022-07-22,18:43:25.358220,SFC,battery voltage 25.08V,output current -0.05A,operation time (charge mode) 0.3h,operating state: auto off,operating mode: auto,cumulative output energy 0.6Wh,no error,cartridge level above sensor or no sensor (cartridge 1.1 consumed 0.011l),no warning,SFC
1658515465,2022-07-22,18:44:25.889967,SFC,battery voltage 25.08V,output current -0.03A,operation time (charge mode) 0.3h,operating state: auto off,operating mode: auto,cumulative output energy 0.6Wh,no error,cartridge level above sensor or no sensor (cartridge 1.1 consumed 0.011l),no warning,SFC
1658515526,2022-07-22,18:45:26.417108,SFC,battery voltage 25.08V,output current -0.03A,operation time (charge mode) 0.3h,operating state: auto off,operating mode: auto,cumulative output energy 0.6Wh,no error,cartridge level above sensor or no sensor (cartridge 1.1 consumed 0.011l),no warning,SFC
1658515586,2022-07-22,18:46:26.938077,SFC,battery voltage 25.08V,output current -0.03A,operation time (charge mode) 0.3h,operating state: auto off,operating mode: auto,cumulative output energy 0.6Wh,no error,cartridge level above sensor or no sensor (cartridge 1.1 consumed 0.011l),no warning,SFC
1658515647,2022-07-22,18:47:27.499062,SFC,battery voltage 25.08V,output current -0.03A,operation time (charge mode) 0.3h,operating state: auto off,operating mode: auto,cumulative output energy 0.6Wh,no error,cartridge level above sensor or no sensor (cartridge 1.1 consumed 0.011l),no warning,SFC
1658515708,2022-07-22,18:48:28.060139,SFC,battery voltage 25.08V,output current -0.03A,operation time (charge mode) 0.3h,operating state: auto off,operating mode: auto,cumulative output energy 0.6Wh,no error,cartridge level above sensor or no sensor (cartridge 1.1 consumed 0.011l),no warning,SFC
1658515768,2022-07-22,18:49:28.621213,SFC,battery voltage 25.08V,output current -0.03A,operation time (charge mode) 0.3h,operating state: auto off,operating mode: auto,cumulative output energy 0.6Wh,no error,cartridge level above sensor or no sensor (cartridge 1.1 consumed 0.011l),no warning,SFC
